channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7,channel 8,Class
32,42,48,106,48,24,24,23,
30,42,49,104,45,26,24,23,
29,42,50,105,48,26,22,25,
29,45,54,107,48,26,23,26,
29,44,46,62,34,25,22,25,
29,44,42,51,30,25,22,24,
33,47,47,55,32,23,20,25,
31,46,44,54,30,23,23,23,
30,43,40,58,29,23,22,21,
30,43,39,59,32,23,22,23,
27,44,40,56,31,23,22,24,
23,37,40,98,39,23,25,25,
26,39,39,106,44,25,27,26,
25,41,39,105,41,23,28,27,
26,40,40,106,43,28,27,26,
28,40,41,107,114,38,27,26,
30,38,37,79,248,50,25,26,
35,41,42,78,264,65,66,35,
35,39,41,84,268,89,74,36,
37,36,42,85,275,99,108,40,
37,38,60,119,257,113,127,49,
52,45,64,123,148,132,160,63,
60,56,69,137,140,217,163,83,
78,62,87,213,162,293,230,113,
128,78,90,285,178,342,268,167,
201,101,99,472,258,378,374,295,
251,128,105,506,288,475,462,432,
269,141,112,562,350,655,648,605,
279,146,113,574,358,787,834,692,
304,162,145,691,445,873,996,790,
352,189,167,633,484,999,999,850,
419,229,183,649,483,1016,1001,930,
441,243,235,776,498,964,964,896,
484,267,256,929,536,904,848,896,
594,300,276,950,586,921,797,929,
624,318,296,1047,629,845,938,1028,
639,304,333,1202,725,955,1002,1031,
742,330,340,1299,791,968,1042,1173,
803,364,416,1341,899,1020,1121,1318,
766,347,410,1326,862,1098,1165,1324,
757,333,405,1332,851,1124,1052,1264,
812,337,425,1279,806,1060,1067,1297,
784,327,466,1249,820,1069,1046,1246,
793,305,400,1183,713,1093,1044,1217,
779,300,397,1168,706,1042,999,1195,
788,310,418,1117,669,1038,1035,1267,
780,303,448,1185,674,1016,1036,1320,
734,288,413,1092,584,1039,1058,1346,
700,272,447,1043,605,1028,1068,1270,
786,322,505,1188,822,1014,1049,1353,
858,333,530,1278,885,1075,1074,1398,
818,333,488,1224,882,1119,1062,1315,
889,354,459,1188,874,1072,1063,1271,
870,351,454,1230,835,1009,1036,1345,
771,379,315,1144,652,1078,1134,1177,
714,351,323,1128,637,1141,1019,1063,
741,350,323,1076,620,1109,993,1096,
753,371,331,985,645,1063,1082,1118,
612,314,300,1021,665,1104,1005,1056,
616,286,309,1083,674,1049,998,1099,
609,286,308,1051,652,1015,1096,1157,
648,272,321,1188,609,1069,1007,1211,
631,268,352,1175,568,1096,1053,1170,
704,281,316,1102,530,1074,921,1206,
742,266,308,1106,523,1005,870,1306,
715,269,319,1153,589,993,902,1327,
701,268,283,1126,569,884,865,1309,
706,275,197,1004,541,803,831,1324,
694,277,216,1060,555,880,957,1299,
674,281,203,1089,522,859,1010,1267,
664,274,180,993,462,907,1009,1208,
657,278,192,912,437,972,1148,1178,
653,273,188,986,457,1062,1161,1261,
605,256,161,962,459,1048,1064,1258,
524,213,201,920,450,1122,1047,1296,
498,189,200,908,410,1126,977,1257,
463,184,188,855,370,1056,926,1200,
430,169,188,724,341,969,897,1155,
512,180,192,683,306,916,959,1201,
481,177,171,748,334,842,896,1080,
470,173,177,765,362,758,867,1036,
536,193,203,871,437,820,786,1110,
472,193,225,948,451,808,609,984,
484,197,251,1003,503,848,621,1013,
597,222,263,1114,564,889,689,1057,
582,207,248,1029,533,882,711,1155,
592,197,246,990,530,943,766,1211,
592,201,288,1052,579,971,833,1224,
578,196,280,1039,558,911,806,1168,
534,201,285,872,462,1007,826,1262,
513,204,280,825,445,1025,772,1217,
677,273,292,896,447,1034,876,1275,
704,288,216,856,380,1137,1007,1306,
661,269,190,975,427,972,947,1227,
641,256,198,1059,463,964,988,1175,
460,172,183,1072,483,906,946,1103,
400,144,180,1021,462,984,901,1001,
464,157,183,986,452,991,872,1213,
609,183,213,803,370,912,962,1406,
565,173,219,855,370,834,956,1241,
510,182,206,813,361,729,879,1177,
516,184,237,891,436,816,571,1366,
