channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7,channel 8,Class
23,26,23,21,23,24,21,23,Rest
23,25,24,21,24,25,21,24,Rest
23,26,25,23,25,25,21,23,Rest
24,26,26,22,25,25,21,22,Rest
24,26,25,25,26,25,22,20,Rest
23,25,26,25,26,24,22,22,Rest
24,26,27,25,25,23,23,21,Rest
24,26,26,25,24,25,22,20,Rest
27,28,25,25,22,23,21,22,Rest
25,27,26,24,21,26,23,23,Rest
26,26,26,24,22,25,22,21,Rest
26,26,25,23,22,24,22,23,Rest
24,25,27,23,23,26,24,23,Rest
26,25,25,19,25,25,27,27,Rest
25,24,27,21,25,26,26,29,Rest
25,25,26,21,25,26,26,30,Rest
24,24,25,21,24,26,26,29,Rest
24,22,24,21,24,24,25,27,Rest
21,23,25,21,22,23,23,24,Rest
23,22,23,22,22,23,22,22,Rest
24,24,22,22,23,25,23,20,Rest
24,23,25,23,24,25,23,21,Rest
25,24,25,24,25,26,23,22,Rest
22,24,26,22,26,23,25,20,Rest
22,25,26,24,26,23,25,22,Rest
23,26,25,23,23,22,25,21,Rest
24,27,25,24,26,24,26,22,Rest
24,27,25,25,23,24,26,24,Rest
24,25,25,24,23,25,25,22,Rest
25,25,25,25,26,25,24,21,Rest
25,23,23,25,24,25,25,22,Rest
23,24,24,23,25,25,24,19,Rest
23,25,24,23,27,25,23,21,Rest
21,24,24,22,26,25,23,22,Rest
20,25,25,23,27,24,23,22,Rest
21,24,24,22,27,26,23,22,Rest
22,24,26,24,27,25,23,24,Rest
22,24,26,23,25,24,23,24,Rest
22,25,26,23,25,23,22,24,Rest
24,25,25,21,23,23,20,25,Rest
23,25,25,22,21,21,21,24,Rest
26,24,24,25,24,22,23,23,Rest
27,25,24,25,25,24,22,24,Rest
26,25,24,24,26,22,24,24,Rest
27,24,23,25,27,23,23,25,Rest
26,26,25,24,27,23,24,25,Rest
25,25,25,24,26,24,22,24,Rest
25,27,26,23,25,24,21,22,Rest
24,25,27,24,24,25,20,21,Rest
25,25,29,25,22,23,20,19,Rest
24,24,28,24,22,24,21,22,Rest
23,22,28,23,21,25,23,25,Rest
23,23,24,22,23,23,26,25,Rest
25,25,25,24,25,20,23,23,Rest
24,24,24,24,25,21,23,24,Rest
23,26,25,24,26,21,25,23,Rest
24,25,24,24,27,20,22,23,Rest
22,25,24,25,25,20,25,22,Rest
22,26,24,24,25,21,25,22,Rest
23,25,24,24,25,21,26,23,Rest
22,27,26,23,24,22,24,23,Rest
22,26,26,26,23,24,21,25,Rest
22,25,25,25,22,23,21,26,Rest
23,26,25,26,22,23,20,25,Rest
25,24,24,25,22,22,21,23,Rest
